"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1","HadSSB_GOM","HadSSB_GB","HadSSB_GOM_1","HadSSB_GB_1","Jelly.Abun","Sm.cal.abun","Sm.cal.abun_1","Lg.cal.abun","Lg.cal.abun_1","Lg.cal.abun_2","Lg.cal.abun_3","Cfin.C5","Cfin.C5_1","NAOIndex","NAOIndex_1","NAOIndex_2","NAOIndex_3","NAOIndex_4","NAOIndex_5","OISST","OISST_1","OISST_2","OISST_3","BT_1","BT_2","WSW"
2006,4575145,3041675,0.4082298,0.490334,205933.4,0.1617166,2.84239935720976,266665.3,9822.945,142450.1041,10190.81,91749.9425,17.1697763550607,20.6106397469315,19.4758332553893,19.8867530278842,20.110684544786,20.8973259754892,20.8877283938115,8.94744269072224,8.84075022096276,-0.91,0.34,-0.13,0.04,0.61,-1.01,12.5083111371484,11.9364057729777,11.5081430808086,11.6865127188533,8.37634036083919,7.84087045562124,69.6313
2007,1458040,3037564,-0.7339628,-0.8815791,199084.9,0.1839529,1.95729553148884,205933.4,8780.922,151461.408,9822.945,142450.1041,17.2470789952261,20.0334906360535,20.6106397469315,20.112040336681,19.8867530278842,20.110684544786,20.8973259754892,9.71492610008504,8.94744269072224,1.16,-0.91,0.34,-0.13,0.04,0.61,12.1168679953165,12.5083111371484,11.9364057729777,11.5081430808086,9.67113793377131,8.37634036083919,53.5188
2008,2773981,3036944,-0.09056839,-0.1087837,200992.5,0.1785504,2.63430738462798,199084.9,7446.999,135237.0536,8780.922,151461.408,16.3020282036538,20.5138562071984,20.0334906360535,20.459533385018,20.112040336681,19.8867530278842,20.110684544786,9.50765845896545,9.71492610008504,1.05,1.16,-0.91,0.34,-0.13,0.04,12.2071530754879,12.1168679953165,12.5083111371484,11.9364057729777,8.53895759188957,9.67113793377131,51.3146
2009,10361470,3037121,1.227184,1.473998,138285.6,0.1764589,3.94258180370959,200992.5,6442.022,109534.6912,7446.999,135237.0536,16.571742682029,20.1104355846649,20.5138562071984,20.379550795218,20.459533385018,20.112040336681,19.8867530278842,8.41477804840827,9.50765845896545,0.03,1.05,1.16,-0.91,0.34,-0.13,12.2179290366472,12.2071530754879,12.1168679953165,12.5083111371484,9.05650848963364,8.53895759188957,65.7792
2010,1995011,3028771,-0.4175076,-0.5014778,126016.1,0.1642347,2.66908373131858,138285.6,5271.524,75702.62069,6442.022,109534.6912,17.8916521057445,21.1977515861098,20.1104355846649,21.0159967760454,20.379550795218,20.459533385018,20.112040336681,8.25538549069809,8.41477804840827,-2.56,0.03,1.05,1.16,-0.91,0.34,12.6130577138491,12.2179290366472,12.2071530754879,12.1168679953165,9.25077472971771,9.05650848963364,80.8833
2011,1941889,3026175,-0.4436381,-0.5328637,189917.5,0.1487846,2.73500681308183,126016.1,4353.131,45621.2821,5271.524,75702.62069,16.8712090688857,20.9628157945392,21.1977515861098,20.9755813205429,21.0159967760454,20.379550795218,20.459533385018,9.18056322662,8.25538549069809,-0.69,-2.56,0.03,1.05,1.16,-0.91,12.7134839125777,12.6130577138491,12.2179290366472,12.2071530754879,9.18640300721705,9.25077472971771,92.6224
2012,6115507,3036045,0.7002721,0.8411125,241246.9,0.1508338,3.47199318822177,189917.5,5264.579,35500.7281,4353.131,45621.2821,16.3621375256816,20.7244882703195,20.9628157945392,20.5182547787991,20.9755813205429,21.0159967760454,20.379550795218,8.09518715501592,9.18056322662,1.56,-0.69,-2.56,0.03,1.05,1.16,13.9422600693747,12.7134839125777,12.6130577138491,12.2179290366472,9.52572747101149,9.18640300721705,79.0156
2013,1370991,3040205,-0.7963913,-0.9565635,195522.1,0.1525817,1.73746822459374,241246.9,8327.506,83178.1666,5264.579,35500.7281,17.7844124425023,21.0754070206847,20.7244882703195,20.6941319030333,20.5182547787991,20.9755813205429,21.0159967760454,8.50126821015322,8.09518715501592,-1.68,1.56,-0.69,-2.56,0.03,1.05,12.8630541060994,13.9422600693747,12.7134839125777,12.6130577138491,10.6952535530655,9.52572747101149,88.8281
2014,1316059,3036605,-0.836098,-1.004256,292365.9,0.1717259,1.9067235271923,195522.1,12840.7,118401.5396,8327.506,83178.1666,17.4384030976632,20.6682469583177,21.0754070206847,20.4734640416097,20.6941319030333,20.5182547787991,20.9755813205429,8.34479004849634,8.50126821015322,0.91,-1.68,1.56,-0.69,-2.56,0.03,12.8154232878949,12.8630541060994,13.9422600693747,12.7134839125777,9.97529247838821,10.6952535530655,68.441
2015,704911.4,3042903,-1.462495,-1.756636,228604.3,0.1667766,0.880066021147968,292365.9,27998.48,202033.8328,12840.7,118401.5396,17.7123980515861,20.9887548033763,20.6682469583177,21.1509715669169,20.4734640416097,20.6941319030333,20.5182547787991,8.12520635263408,8.34479004849634,1.84,0.91,-1.68,1.56,-0.69,-2.56,13.0054975533615,12.8154232878949,12.8630541060994,13.9422600693747,10.0672898095925,9.97529247838821,87.4557
2016,343525.8,3039353,-2.180138,-2.618612,145351.5,0.143547,0.407269656679624,228604.3,47558.36,574447.0851,27998.48,202033.8328,17.171529520564,21.0041281580855,20.9887548033763,20.8653478067451,21.1509715669169,20.4734640416097,20.6941319030333,8.51630949938089,8.12520635263408,0.99,1.84,0.91,-1.68,1.56,-0.69,13.4126348311725,13.0054975533615,12.8154232878949,12.8630541060994,10.3123250343875,10.0672898095925,94.3438
2017,859747,3030069,-1.259703,-1.513057,105793.3,0.1587506,1.77748321305076,145351.5,52540.93,793083.4962,47558.36,574447.0851,17.4460939085355,20.6730587226844,21.0041281580855,21.0296362002525,20.8653478067451,21.1509715669169,20.4734640416097,7.87544163962905,8.51630949938089,0.87,0.99,1.84,0.91,-1.68,1.56,12.9434145123063,13.4126348311725,13.0054975533615,12.8154232878949,10.5544743358287,10.3123250343875,99.2474
2018,692799.5,3020596,-1.472469,-1.768615,65529.42,0.1902731,1.87925344515214,105793.3,49783.44,859542.4557,52540.93,793083.4962,18.9061345488866,21.3590027875451,20.6730587226844,21.1318926820279,21.0296362002525,20.8653478067451,21.1509715669169,8.48895518246641,7.87544163962905,-0.17,0.87,0.99,1.84,0.91,-1.68,12.9338735971856,12.9434145123063,13.4126348311725,13.0054975533615,9.96482096934135,10.5544743358287,97.6771
2019,1570989,2999424,-0.6467147,-0.7767836,53441.01,0.1950997,3.17696143421724,65529.42,NA,NA,49783.44,859542.4557,16.8162150076046,21.1367868614885,21.3590027875451,21.3470352049371,21.1318926820279,21.0296362002525,20.8653478067451,9.41766992169993,8.48895518246641,0.75,-0.17,0.87,0.99,1.84,0.91,12.7323177571765,12.9338735971856,12.9434145123063,13.4126348311725,9.58095130525562,9.96482096934135,98.8906
