"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1","MackSSB","HadSSB_GOM","HadSSB_GB","MackSSB_1","HadSSB_GOM_1","HadSSB_GB_1","ChlA","PPD","Jelly.Abun","Krill.Abun","Sm.cal.abun","Sm.cal.abun_1","Lg.cal.abun","Lg.cal.abun_1","Cfin.C5","cfinC5_1","HW","NAOIndex","HW_1","NAOIndex_1","HW_2","NAOIndex_2","HW_3","NAOIndex_3","BT","OISST","BT_1","OISST_1","BT_2","OISST_2","BT_3","OISST_3","GSI","WSW","CP"
2002,4495514,3045739,0.3893366,0.4676409,286552.3,0.1579626,2.48138392170347,375948.2,255991,15778.6,90221.60507,268593,13056.85,81182.633,0.84784399667552,0.670625849247825,16.4842759221676,16.375019926609,20.5922475031435,20.8017991395078,20.1957485906323,20.6769650271262,9.479273994525,9.94571655226646,151.692880058536,0.61,47.6575540816663,-1.01,59.4347906135567,1.59,112.524499996802,0.64,9.88131681740885,11.7603972554075,9.18840765972388,11.2091537525944,9.49168555859137,11.4146043780836,9.78190270557371,11.6672684488487,1.3114632326931,63.2266,0.804433995954097
2003,5469233,3042645,0.5864113,0.7043518,227018.1,0.1652241,2.94897259871799,286552.3,226488,13623.81,104196.4393,255991,15778.6,90221.60507,0.818890252836484,0.59860738831799,16.2924767549608,16.3090344108346,20.5613253190249,20.5922475031435,20.8877283938115,20.1957485906323,9.83000141462123,9.479273994525,12.6046324707088,0.04,151.692880058536,0.61,47.6575540816663,-1.01,59.4347906135567,1.59,8.52485092201181,10.7255758379359,9.88131681740885,11.7603972554075,9.18840765972388,11.2091537525944,9.49168555859137,11.4146043780836,0.185326981984479,87.4375,-0.106338929612507
2004,2949779,3039240,-0.02987703,-0.03588598,247678.7,0.1751374,2.56445578128784,227018.1,172130,11752.11,91283.969,226488,13623.81,104196.4393,0.794057790120303,0.582774940370259,17.0006993779836,16.0145422116506,20.4034366049817,20.5613253190249,20.8973259754892,20.8877283938115,9.40257080390872,9.83000141462123,25.8242,-0.13,12.6046324707088,0.04,151.692880058536,0.61,47.6575540816663,-1.01,7.84087045562124,10.3603195558018,8.52485092201181,10.7255758379359,9.88131681740885,11.7603972554075,9.18840765972388,11.2091537525944,-0.166858636894737,59.6271,-2.14327506259531
2005,2163047,3040606,-0.3405391,-0.4090292,266665.3,0.1801409,2.16714081311739,247678.7,149476,10190.81,91749.9425,172130,11752.11,91283.969,0.793367392534838,0.57612718044127,16.2386619551633,15.9279721484943,19.4758332553893,20.4034366049817,20.110684544786,20.8973259754892,8.84075022096276,9.40257080390872,72.9641121485497,0.34,25.8242,-0.13,12.6046324707088,0.04,151.692880058536,0.61,8.37634036083919,10.8695655794233,7.84087045562124,10.3603195558018,8.52485092201181,10.7255758379359,9.88131681740885,11.7603972554075,-0.145682067966465,66.9271,-0.0797552719974603
2006,4575145,3041675,0.4082298,0.490334,205933.4,0.1617166,2.84239935720976,266665.3,129322,9822.945,142450.1041,149476,10190.81,91749.9425,0.871969331198705,0.674006886287815,17.1697763550607,16.9566829428683,20.6106397469315,19.4758332553893,19.8867530278842,20.110684544786,8.94744269072224,8.84075022096276,108.875224995426,-0.91,72.9641121485497,0.34,25.8242,-0.13,12.6046324707088,0.04,9.67113793377131,11.4944511702578,8.37634036083919,10.8695655794233,7.84087045562124,10.3603195558018,8.52485092201181,10.7255758379359,-0.0588807418437636,69.6313,1.71953201530249
2007,1458040,3037564,-0.7339628,-0.8815791,199084.9,0.1839529,1.95729553148884,205933.4,103390,8780.922,151461.408,129322,9822.945,142450.1041,0.840391730295911,0.617229792860736,17.2470789952261,15.455486305075,20.0334906360535,20.6106397469315,20.112040336681,19.8867530278842,9.71492610008504,8.94744269072224,43.826025328787,1.16,108.875224995426,-0.91,72.9641121485497,0.34,25.8242,-0.13,8.53895759188957,10.9427614231092,9.67113793377131,11.4944511702578,8.37634036083919,10.8695655794233,7.84087045562124,10.3603195558018,-0.819239905921597,53.5188,-1.18125434149777
2008,2773981,3036944,-0.09056839,-0.1087837,200992.5,0.1785504,2.63430738462798,199084.9,66969,7446.999,135237.0536,103390,8780.922,151461.408,0.83317603195901,0.611976273397584,16.3020282036538,16.8393035719735,20.5138562071984,20.0334906360535,20.459533385018,20.112040336681,9.50765845896545,9.71492610008504,45.4792300996318,1.05,43.826025328787,1.16,108.875224995426,-0.91,72.9641121485497,0.34,9.05650848963364,11.1533997647557,8.53895759188957,10.9427614231092,9.67113793377131,11.4944511702578,8.37634036083919,10.8695655794233,0.23865519604612,51.3146,0.323887392058046
2009,10361470,3037121,1.227184,1.473998,138285.6,0.1764589,3.94258180370959,200992.5,43732,6442.022,109534.6912,66969,7446.999,135237.0536,0.864242065377394,0.616426651107364,16.571742682029,16.008525636539,20.1104355846649,20.5138562071984,20.379550795218,20.459533385018,8.41477804840827,9.50765845896545,63.8543706386088,0.03,45.4792300996318,1.05,43.826025328787,1.16,108.875224995426,-0.91,9.25077472971771,11.1991337771915,9.05650848963364,11.1533997647557,8.53895759188957,10.9427614231092,9.67113793377131,11.4944511702578,0.702377605630014,65.7792,0.312409908424899
2010,1995011,3028771,-0.4175076,-0.5014778,126016.1,0.1642347,2.66908373131858,138285.6,24001,5271.524,75702.62069,43732,6442.022,109534.6912,0.876010270966176,0.631348448135517,17.8916521057445,18.5459963025156,21.1977515861098,20.1104355846649,21.0159967760454,20.379550795218,8.25538549069809,8.41477804840827,158.731629081958,-2.56,63.8543706386088,0.03,45.4792300996318,1.05,43.826025328787,1.16,9.18640300721705,11.6668478988089,9.25077472971771,11.1991337771915,9.05650848963364,11.1533997647557,8.53895759188957,10.9427614231092,0.335385871170468,80.8833,-0.0765620200151267
2011,1941889,3026175,-0.4436381,-0.5328637,189917.5,0.1487846,2.73500681308183,126016.1,16899,4353.131,45621.2821,24001,5271.524,75702.62069,0.969209253074797,0.691173114417018,16.8712090688857,16.6813442635771,20.9628157945392,21.1977515861098,20.9755813205429,21.0159967760454,9.18056322662,8.25538549069809,255.515027559735,-0.69,158.731629081958,-2.56,63.8543706386088,0.03,45.4792300996318,1.05,9.52572747101149,11.7049549233737,9.18640300721705,11.6668478988089,9.25077472971771,11.1991337771915,9.05650848963364,11.1533997647557,-0.102563910119768,92.6224,0.344427109361823
2012,6115507,3036045,0.7002721,0.8411125,241246.9,0.1508338,3.47199318822177,189917.5,16837,5264.579,35500.7281,16899,4353.131,45621.2821,0.914879906396199,0.714199829582996,16.3621375256816,17.0626214553792,20.7244882703195,20.9628157945392,20.5182547787991,20.9755813205429,8.09518715501592,9.18056322662,549.51566445207,1.56,255.515027559735,-0.69,158.731629081958,-2.56,63.8543706386088,0.03,10.6952535530655,12.9811023258301,9.52572747101149,11.7049549233737,9.18640300721705,11.6668478988089,9.25077472971771,11.1991337771915,0.709842484035925,79.0156,2.09304050907826
2013,1370991,3040205,-0.7963913,-0.9565635,195522.1,0.1525817,1.73746822459374,241246.9,18849,8327.506,83178.1666,16837,5264.579,35500.7281,0.866412576552611,0.660248114984612,17.7844124425023,17.1529478845486,21.0754070206847,20.7244882703195,20.6941319030333,20.5182547787991,8.50126821015322,8.09518715501592,137.297751771032,-1.68,549.51566445207,1.56,255.515027559735,-0.69,158.731629081958,-2.56,9.97529247838821,11.9812921106569,10.6952535530655,12.9811023258301,9.52572747101149,11.7049549233737,9.18640300721705,11.6668478988089,0.735839169433019,88.8281,1.34829425279597
2014,1316059,3036605,-0.836098,-1.004256,292365.9,0.1717259,1.9067235271923,195522.1,17007,12840.7,118401.5396,18849,8327.506,83178.1666,0.876014427204456,0.617590095376365,17.4384030976632,16.9896536982647,20.6682469583177,21.0754070206847,20.4734640416097,20.6941319030333,8.34479004849634,8.50126821015322,189.987579220661,0.91,137.297751771032,-1.68,549.51566445207,1.56,255.515027559735,-0.69,10.0672898095925,11.8803269539196,9.97529247838821,11.9812921106569,10.6952535530655,12.9811023258301,9.52572747101149,11.7049549233737,1.13806163841073,68.441,2.30474541180185
2015,704911.4,3042903,-1.462495,-1.756636,228604.3,0.1667766,0.880066021147968,292365.9,24328,27998.48,202033.8328,17007,12840.7,118401.5396,0.861891338965657,0.650227897162947,17.7123980515861,17.6752086108135,20.9887548033763,20.6682469583177,21.1509715669169,20.4734640416097,8.12520635263408,8.34479004849634,366.226770709262,1.84,189.987579220661,0.91,137.297751771032,-1.68,549.51566445207,1.56,10.3123250343875,11.9471015459389,10.0672898095925,11.8803269539196,9.97529247838821,11.9812921106569,10.6952535530655,12.9811023258301,1.31010143952915,87.4557,2.32722494531683
2016,343525.8,3039353,-2.180138,-2.618612,145351.5,0.143547,0.407269656679624,228604.3,43519,47558.36,574447.0851,24328,27998.48,202033.8328,0.871206479222025,0.666905912434578,17.171529520564,16.887585878658,21.0041281580855,20.9887548033763,20.8653478067451,21.1509715669169,8.51630949938089,8.12520635263408,360.691223582453,0.99,366.226770709262,1.84,189.987579220661,0.91,137.297751771032,-1.68,10.5544743358287,12.4605991225384,10.3123250343875,11.9471015459389,10.0672898095925,11.8803269539196,9.97529247838821,11.9812921106569,1.61835233389417,94.3438,1.86983155601043
2017,859747,3030069,-1.259703,-1.513057,105793.3,0.1587506,1.77748321305076,145351.5,40190,52540.93,793083.4962,43519,47558.36,574447.0851,0.897302555959411,0.655360258754627,17.4460939085355,16.1113231436647,20.6730587226844,21.0041281580855,21.0296362002525,20.8653478067451,7.87544163962905,8.51630949938089,166.472898186574,0.87,360.691223582453,0.99,366.226770709262,1.84,189.987579220661,0.91,9.96482096934135,11.9355822832632,10.5544743358287,12.4605991225384,10.3123250343875,11.9471015459389,10.0672898095925,11.8803269539196,1.15136700588829,99.2474,0.153582937788354
2018,692799.5,3020596,-1.472469,-1.768615,65529.42,0.1902731,1.87925344515214,105793.3,47554,49783.44,859542.4557,40190,52540.93,793083.4962,0.828690648454368,0.6347137921218,18.9061345488866,17.3335730165733,21.3590027875451,20.6730587226844,21.1318926820279,21.0296362002525,8.48895518246641,7.87544163962905,231.409254007035,-0.17,166.472898186574,0.87,360.691223582453,0.99,366.226770709262,1.84,9.58095130525562,12.1119233518063,9.96482096934135,11.9355822832632,10.5544743358287,12.4605991225384,10.3123250343875,11.9471015459389,1.24507307142625,97.6771,0.0116183431076347
2019,1570989,2999424,-0.6467147,-0.7767836,53441.01,0.1950997,3.17696143421724,65529.42,42862,NA,NA,47554,49783.44,859542.4557,0.870451623956011,0.642653958988196,16.8162150076046,17.1671411917441,21.1367868614885,21.3590027875451,21.3470352049371,21.1318926820279,9.41766992169993,8.48895518246641,136.901991314012,0.75,231.409254007035,-0.17,166.472898186574,0.87,360.691223582453,0.99,9.96918450092464,11.625694015562,9.58095130525562,12.1119233518063,9.96482096934135,11.9355822832632,10.5544743358287,12.4605991225384,1.84005165513758,98.8906,1.0207184568627
